likes,dislikes,comment_count,
1915,220,359,0
5023450,343541,517232,1
1915,220,359,0
12901,70,646,0
663,23,47,0
3773,122,322,0
4863,128,482,0
154,15,48,0
853,269,1989,0
514,31,88,0
4431,391,1248,0
5574,79,447,0
2992,30,299,0
2040,237,452,0
589,78,183,0
1760,151,127,0
2703,307,1260,0
5577,413,1572,0
4916,1928,2145,0
5140,40,560,0
2521,38,101,0
3058,448,3426,0
1118,86,238,0
2870,116,576,0
557,1112,322,0
4941,132,572,0
1225,819,512,0
3742,34,394,0
337,147,295,0
3331,28,387,0
3257,193,656,0
791,115,66,0
3316,316,599,0
3680,77,164,0
2618,82,161,0
314,190,80,0
690,377,1114,0
1519,53,168,0
4042,202,304,0
618,73,241,0
2972,184,201,0
5732,66,533,0
2630,148,234,0
208,37,113,0
862,273,1565,0
7314,73,412,0
603,229,251,0
1134,115,394,0
574,38,48,0
3128,51,93,0
1767,33,224,0
4173,138,292,0
568,437,409,0
9357,204,763,0
1452,9,205,0
558,1115,324,0
11324,118,2593,0
1746,54,88,0
5394,245,897,0
1858,23,166,0
4153,293,629,0
3711,116,297,0
9730,49,609,0
6282,89,797,0
7799,433,457,0
4822,96,1319,0
2426,79,270,0
870,274,1556,0
5010,225,476,0
4072,770,483,0
5535,285,1149,0
4470,395,1255,0
8374,81,1411,0
1167,125,137,0
4537,86,454,0
2384,56,322,0
8186,77,440,0
764,562,350,0
873,276,1564,0
2225,167,417,0
1359,90,128,0
5099,80,387,0
233,373,324,0
1353,12,72,0
6234,101,305,0
785,70,49,0
1760,28,96,0
5641,418,1588,0
512,26,60,0
13085,70,657,0
3535,155,262,0
768,1452,1232,0
616,34,86,0
3015,184,204,0
3218,1085,475,0
1366,390,575,0
11201,63,729,0
818,77,189,0
4635,82,355,0
873,276,1569,0
4511,398,1260,0
3821,114,473,0
225,182,0,0
7690,52,1181,0
6135,73,3930,0
7864,72,617,0
4709,284,600,0
1126,89,232,0
1826,393,416,0
5108,177,790,0
2845,85,313,0
1128,114,198,0
7617,111,639,0
13660,287,887,0
403,12,0,0
6861,45,955,0
7256,83,852,0
3768,119,299,0
1248,81,272,0
2674,44,221,0
1566,177,122,0
4689,385,1041,0
5801,61,237,0
3264,1575,1060,0
4532,398,1287,0
1776,78,188,0
6013,208,782,0
2238,44,63,0
692,506,400,0
2737,314,1285,0
3045,185,204,0
4051,71,163,0
1049,29,0,0
3834,123,165,0
2435,79,279,0
3571,278,399,0
1770,56,88,0
86,39,15,0
5716,420,1608,0
7233,36,861,0
5426,140,619,0
5295,52,184,0
13220,70,671,0
2661,67,635,0
4553,400,1285,0
790,244,109,0
5286,126,551,0
423,45,551,0
1301,76,239,0
5233,2250,1895,0
579,214,129,0
4784,277,911,0
7862,1004,1560,0
4570,87,459,0
2166,1066,1896,0
2182,273,365,0
3067,185,205,0
1576,303,1279,0
7092,84,519,0
3827,120,316,0
1789,157,127,0
2020,91,190,0
5686,49,320,0
1153,117,408,0
4056,46,292,0
1181,108,265,0
3668,495,1090,0
2442,79,280,0
4485,136,613,0
1131,90,235,0
352,72,0,0
613,230,241,0
13544,882,3036,0
360,70,292,0
2461,52,236,0
3152,424,808,0
2709,494,2222,0
493,54,347,0
1740,43,67,0
5923,37,477,0
441,17,29,0
3084,186,205,0
2269,168,419,0
586,85,107,0
2445,79,280,0
5186,83,387,0
8738,212,1323,0
694,128,161,0
2753,319,1206,0
975,62,62,0
1937,759,528,0
1604,240,159,0
3180,48,351,0
2199,98,263,0
3847,34,409,0
3639,184,396,0
8012,437,477,0
7129,102,314,0
167,45,381,0
912,73,131,0
5792,422,1624,0
8305,78,870,0
430,322,1058,0
1674,117,201,0
3436,106,419,0
4789,285,602,0
3590,192,265,0
2708,151,241,0
3107,187,205,0
6488,81,290,0
1148,91,237,0
5202,141,874,0
1009,252,307,0
872,23,107,0
4544,187,444,0
